dataset,project_broad_celltype,program,mean_score,detection_fraction
GSE149614,other/uncertain,dendritic,1.03784971583708,1
GSE149614,mast,dendritic,1.23417485666765,1
GSE149614,B,mast,0.0168097416263239,0.0283018867924528
GSE149614,hepatocyte/tumor epithelial,mast,0.00377420960166982,0.00487804878048781
GSE149614,T/NK,mast,0.00737499352391765,0.0099009900990099
GSE149614,monocyte/macrophage,mast,0.0156565698404076,0.0273972602739726
GSE149614,fibroblast/mesenchymal,mast,0,0
GSE149614,endothelial,mast,0.210698691933395,0.333333333333333
GSE149614,neutrophil,mast,0,0
GSE149614,plasma,mast,0,0
GSE149614,other/uncertain,mast,0,0
GSE149614,mast,mast,2.05256332520953,1
GSE149614,B,endothelial,0.176820632344663,0.349056603773585
GSE149614,hepatocyte/tumor epithelial,endothelial,0.334772174134564,0.341463414634146
GSE149614,T/NK,endothelial,0.0677593946213524,0.108910891089109
GSE149614,monocyte/macrophage,endothelial,0.396179778366012,0.383561643835616
GSE149614,fibroblast/mesenchymal,endothelial,1.31578162335559,1
GSE149614,endothelial,endothelial,2.78878012414592,1
GSE149614,neutrophil,endothelial,0,0
GSE149614,plasma,endothelial,0.463658346626279,1
GSE149614,other/uncertain,endothelial,0.0892296107232432,0.2
GSE149614,mast,endothelial,1.55359107439827,1
GSE149614,B,fibroblast/mesenchymal,0.0164825978070505,0.0566037735849057
GSE149614,hepatocyte/tumor epithelial,fibroblast/mesenchymal,0.120126571546349,0.224390243902439
GSE149614,T/NK,fibroblast/mesenchymal,0.0357443998953765,0.0495049504950495
GSE149614,monocyte/macrophage,fibroblast/mesenchymal,0.0878350425677115,0.150684931506849
GSE149614,fibroblast/mesenchymal,fibroblast/mesenchymal,3.95237436653606,1
GSE149614,endothelial,fibroblast/mesenchymal,0.105103747793522,0.333333333333333
GSE149614,neutrophil,fibroblast/mesenchymal,0,0
GSE149614,plasma,fibroblast/mesenchymal,0,0
GSE149614,other/uncertain,fibroblast/mesenchymal,0,0
GSE149614,mast,fibroblast/mesenchymal,0,0
GSE149614,hepatocyte/tumor epithelial,hepatocyte/tumor epithelial,4.75249974176253,1
GSE149614,monocyte/macrophage,hepatocyte/tumor epithelial,3.65387224372556,1
GSE149614,B,hepatocyte/tumor epithelial,3.56180119782082,1
GSE149614,fibroblast/mesenchymal,hepatocyte/tumor epithelial,3.35583502459828,1
GSE149614,hepatocyte/tumor epithelial,T/NK,0.305919273103718,0.680589680589681
GSE149614,monocyte/macrophage,T/NK,0.198004344546394,0.6
GSE149614,B,T/NK,0.277890623377544,1
GSE149614,fibroblast/mesenchymal,T/NK,0.418349256137216,1
GSE149614,hepatocyte/tumor epithelial,B,1.85652763248399,1
GSE149614,monocyte/macrophage,B,3.36518817012168,1
GSE149614,B,B,4.18938303427298,1
GSE149614,fibroblast/mesenchymal,B,1.22348168138133,1
GSE149614,hepatocyte/tumor epithelial,plasma,0.800947370330979,0.972972972972973
GSE149614,monocyte/macrophage,plasma,0.536423510209421,0.894117647058824
GSE149614,B,plasma,0.639826285372222,1
GSE149614,fibroblast/mesenchymal,plasma,0.38884315487728,1
GSE149614,hepatocyte/tumor epithelial,monocyte/macrophage,3.48892951777929,1
GSE149614,monocyte/macrophage,monocyte/macrophage,4.386338306001,1
GSE149614,B,monocyte/macrophage,3.60307756632237,1
GSE149614,fibroblast/mesenchymal,monocyte/macrophage,2.38896087460753,1
GSE149614,hepatocyte/tumor epithelial,neutrophil,0.294654403716906,0.874692874692875
GSE149614,monocyte/macrophage,neutrophil,0.727933045412916,0.964705882352941
GSE149614,B,neutrophil,0.956841906072686,1
GSE149614,fibroblast/mesenchymal,neutrophil,0.149321438207352,1
GSE149614,hepatocyte/tumor epithelial,dendritic,1.0325111356954,0.997542997542998
GSE149614,monocyte/macrophage,dendritic,1.57689936944411,1
GSE149614,B,dendritic,1.76422763596987,1
GSE149614,fibroblast/mesenchymal,dendritic,1.66236612622714,1
GSE149614,hepatocyte/tumor epithelial,mast,0.0192027815992267,0.0835380835380835
GSE149614,monocyte/macrophage,mast,0.0110116408960415,0.0235294117647059
GSE149614,B,mast,0,0
GSE149614,fibroblast/mesenchymal,mast,0,0
GSE149614,hepatocyte/tumor epithelial,endothelial,0.0536287691746327,0.194103194103194
GSE149614,monocyte/macrophage,endothelial,0.12416018642285,0.317647058823529
GSE149614,B,endothelial,0.128235329619035,0.428571428571429
GSE149614,fibroblast/mesenchymal,endothelial,0.38884315487728,1
GSE149614,hepatocyte/tumor epithelial,fibroblast/mesenchymal,0.135533817306485,0.324324324324324
GSE149614,monocyte/macrophage,fibroblast/mesenchymal,0.06313952005545,0.164705882352941
GSE149614,B,fibroblast/mesenchymal,0,0
GSE149614,fibroblast/mesenchymal,fibroblast/mesenchymal,3.61708297349404,1
GSE149614,T/NK,hepatocyte/tumor epithelial,0.717940056691431,0.855345911949686
GSE149614,monocyte/macrophage,hepatocyte/tumor epithelial,1.02137045503786,1
GSE149614,plasma,hepatocyte/tumor epithelial,0.864104157743944,1
GSE149614,B,hepatocyte/tumor epithelial,0.847309020561156,0.96551724137931
GSE149614,neutrophil,hepatocyte/tumor epithelial,0.772616543046146,0.9
GSE149614,endothelial,hepatocyte/tumor epithelial,0.782772736229036,1
GSE149614,other/uncertain,hepatocyte/tumor epithelial,0.673638251783023,0.714285714285714
GSE149614,hepatocyte/tumor epithelial,hepatocyte/tumor epithelial,5.02037744623608,1
GSE149614,T/NK,T/NK,3.0540277123739,1
GSE149614,monocyte/macrophage,T/NK,0.785685800737539,0.921348314606742
GSE149614,plasma,T/NK,0.747881939810923,1
GSE149614,B,T/NK,0.862020138418028,0.931034482758621
GSE149614,neutrophil,T/NK,2.72161786501109,1
GSE149614,endothelial,T/NK,0.376234876549291,0.666666666666667
GSE149614,other/uncertain,T/NK,2.70322707517584,1
GSE149614,hepatocyte/tumor epithelial,T/NK,0.75645930538356,1
GSE149614,T/NK,B,1.68504181372338,0.993710691823899
GSE149614,monocyte/macrophage,B,2.94489574473526,1
GSE149614,plasma,B,1.46162004382059,1
GSE149614,B,B,3.98114787741573,1
