dataset,sample_id,patient_id,tissue,abundance_eligible,n_cells,n_neutrophil,n_neutrophil_high,n_neutrophil_medium,n_ambiguous_myeloid,n_rescued,n_rescued_neutrophil,n_patients,summary_level,neutrophil_fraction,rescued_fraction
in_house,YJCA01,in_house_P01,Tumor,CONDITIONAL,11605,81,28,53,325,11605,81,1,sample,0.00697975010771219,1
in_house,YJCA01,in_house_P01,Tumor,CONDITIONAL,11605,81,28,53,325,11605,81,1,patient_tissue,0.00697975010771219,1
in_house,YJCA02,in_house_P02,Tumor,CONDITIONAL,13746,2321,2177,144,634,13746,2321,1,sample,0.168849119743926,1
in_house,YJCA02,in_house_P02,Tumor,CONDITIONAL,13746,2321,2177,144,634,13746,2321,1,patient_tissue,0.168849119743926,1
in_house,YJCA03,in_house_P03,Tumor,CONDITIONAL,6322,1605,1349,256,551,6322,1605,1,sample,0.253875355900032,1
in_house,YJCA03,in_house_P03,Tumor,CONDITIONAL,6322,1605,1349,256,551,6322,1605,1,patient_tissue,0.253875355900032,1
in_house,YJCA04,in_house_P04,Tumor,CONDITIONAL,9661,499,363,136,124,9661,499,1,sample,0.0516509678087155,1
in_house,YJCA04,in_house_P04,Tumor,CONDITIONAL,9661,499,363,136,124,9661,499,1,patient_tissue,0.0516509678087155,1
in_house,YJCA05,in_house_P05,Tumor,CONDITIONAL,10555,966,760,206,379,10555,966,1,sample,0.0915206063477025,1
in_house,YJCA05,in_house_P05,Tumor,CONDITIONAL,10555,966,760,206,379,10555,966,1,patient_tissue,0.0915206063477025,1
in_house,YJCA06,in_house_P06,Tumor,CONDITIONAL,11258,383,197,186,149,11258,383,1,sample,0.034020252265056,1
in_house,YJCA06,in_house_P06,Tumor,CONDITIONAL,11258,383,197,186,149,11258,383,1,patient_tissue,0.034020252265056,1
in_house,YJCA07,in_house_P07,Tumor,CONDITIONAL,11712,2665,2287,378,437,11712,2665,1,sample,0.227544398907104,1
in_house,YJCA07,in_house_P07,Tumor,CONDITIONAL,11712,2665,2287,378,437,11712,2665,1,patient_tissue,0.227544398907104,1
in_house,YJCA08,in_house_P08,Tumor,CONDITIONAL,9779,347,316,31,127,9779,347,1,sample,0.0354842008385316,1
in_house,YJCA08,in_house_P08,Tumor,CONDITIONAL,9779,347,316,31,127,9779,347,1,patient_tissue,0.0354842008385316,1
in_house,YJCA09,in_house_P09,Tumor,CONDITIONAL,13744,314,136,178,470,13744,314,1,sample,0.0228463329452852,1
in_house,YJCA09,in_house_P09,Tumor,CONDITIONAL,13744,314,136,178,470,13744,314,1,patient_tissue,0.0228463329452852,1
in_house,YJCA10,in_house_P10,Tumor,CONDITIONAL,9468,527,433,94,162,9468,527,1,sample,0.0556611744824673,1
in_house,YJCA10,in_house_P10,Tumor,CONDITIONAL,9468,527,433,94,162,9468,527,1,patient_tissue,0.0556611744824673,1
in_house,YJP01,in_house_P01,Adjacent,CONDITIONAL,11813,1556,982,574,561,11813,1556,1,sample,0.131719292305088,1
in_house,YJP01,in_house_P01,Adjacent,CONDITIONAL,11813,1556,982,574,561,11813,1556,1,patient_tissue,0.131719292305088,1
in_house,YJP02,in_house_P02,Adjacent,CONDITIONAL,12428,1984,1476,508,514,12428,1984,1,sample,0.15963952365626,1
in_house,YJP02,in_house_P02,Adjacent,CONDITIONAL,12428,1984,1476,508,514,12428,1984,1,patient_tissue,0.15963952365626,1
in_house,YJP03,in_house_P03,Adjacent,CONDITIONAL,13019,1802,1314,488,766,13019,1802,1,sample,0.13841308856287,1
in_house,YJP03,in_house_P03,Adjacent,CONDITIONAL,13019,1802,1314,488,766,13019,1802,1,patient_tissue,0.13841308856287,1
in_house,YJP04,in_house_P04,Adjacent,CONDITIONAL,10778,515,380,135,167,10778,515,1,sample,0.0477825199480423,1
in_house,YJP04,in_house_P04,Adjacent,CONDITIONAL,10778,515,380,135,167,10778,515,1,patient_tissue,0.0477825199480423,1
in_house,YJP05,in_house_P05,Adjacent,CONDITIONAL,13857,2435,1912,523,716,13857,2435,1,sample,0.175723461066609,1
in_house,YJP05,in_house_P05,Adjacent,CONDITIONAL,13857,2435,1912,523,716,13857,2435,1,patient_tissue,0.175723461066609,1
in_house,YJP06,in_house_P06,Adjacent,CONDITIONAL,11836,475,248,227,370,11836,475,1,sample,0.0401318012842176,1
in_house,YJP06,in_house_P06,Adjacent,CONDITIONAL,11836,475,248,227,370,11836,475,1,patient_tissue,0.0401318012842176,1
in_house,YJP07,in_house_P07,Adjacent,CONDITIONAL,17097,1564,1053,511,314,17097,1564,1,sample,0.0914780370825291,1
in_house,YJP07,in_house_P07,Adjacent,CONDITIONAL,17097,1564,1053,511,314,17097,1564,1,patient_tissue,0.0914780370825291,1
in_house,YJP08,in_house_P08,Adjacent,CONDITIONAL,11893,772,548,224,149,11893,772,1,sample,0.0649121331875893,1
in_house,YJP08,in_house_P08,Adjacent,CONDITIONAL,11893,772,548,224,149,11893,772,1,patient_tissue,0.0649121331875893,1
in_house,YJP09,in_house_P09,Adjacent,CONDITIONAL,12706,871,538,333,453,12706,871,1,sample,0.0685502912010074,1
in_house,YJP09,in_house_P09,Adjacent,CONDITIONAL,12706,871,538,333,453,12706,871,1,patient_tissue,0.0685502912010074,1
in_house,YJP10,in_house_P10,Adjacent,CONDITIONAL,10439,2086,1339,747,366,10439,2086,1,sample,0.199827569690583,1
in_house,YJP10,in_house_P10,Adjacent,CONDITIONAL,10439,2086,1339,747,366,10439,2086,1,patient_tissue,0.199827569690583,1
